movieId,imdbId,tmdbId
19995,,19995
285,,285
206647,,206647
49026,,49026
49529,,49529
559,,559
38757,,38757
99861,,99861
767,,767
209112,,209112
1452,,1452
10764,,10764
58,,58
57201,,57201
49521,,49521
2454,,2454
24428,,24428
1865,,1865
41154,,41154
122917,,122917
1930,,1930
20662,,20662
57158,,57158
2268,,2268
254,,254
597,,597
271110,,271110
44833,,44833
135397,,135397
37724,,37724
558,,558
68721,,68721
12155,,12155
36668,,36668
62211,,62211
8373,,8373
91314,,91314
68728,,68728
102382,,102382
20526,,20526
49013,,49013
44912,,44912
10193,,10193
534,,534
168259,,168259
72190,,72190
127585,,127585
54138,,54138
81005,,81005
64682,,64682
9543,,9543
68726,,68726
38356,,38356
217,,217
105864,,105864
62177,,62177
188927,,188927
10681,,10681
5174,,5174
14161,,14161
17979,,17979
76757,,76757
258489,,258489
411,,411
246655,,246655
155,,155
14160,,14160
15512,,15512
1726,,1726
44826,,44826
8487,,8487
1735,,1735
297761,,297761
2698,,2698
137113,,137113
9804,,9804
14869,,14869
150540,,150540
278927,,278927
10138,,10138
58595,,58595
102651,,102651
119450,,119450
79698,,79698
64686,,64686
100402,,100402
10192,,10192
158852,,158852
177572,,177572
82690,,82690
5255,,5255
47933,,47933
10191,,10191
296,,296
118340,,118340
157336,,157336
27205,,27205
315011,,315011
49051,,49051
9799,,9799
4922,,4922
49538,,49538
131634,,131634
27022,,27022
503,,503
241259,,241259
810,,810
68735,,68735
87101,,87101
10140,,10140
676,,676
1858,,1858
1966,,1966
675,,675
674,,674
8960,,8960
6479,,6479
118,,118
2062,,2062
272,,272
10527,,10527
18360,,18360
2080,,2080
605,,605
109445,,109445
604,,604
76338,,76338
76341,,76341
13448,,13448
10195,,10195
13053,,13053
19585,,19585
57165,,57165
62213,,62213
177677,,177677
7978,,7978
5559,,5559
49444,,49444
10196,,10196
956,,956
117251,,117251
50321,,50321
11619,,11619
266647,,266647
82703,,82703
652,,652
80321,,80321
36669,,36669
43074,,43074
95,,95
608,,608
2310,,2310
140300,,140300
56292,,56292
81188,,81188
7552,,7552
616,,616
147441,,147441
13475,,13475
557,,557
82702,,82702
205584,,205584
10048,,10048
13183,,13183
944,,944
1927,,1927
72559,,72559
7364,,7364
2114,,2114
1771,,1771
36643,,36643
8619,,8619
50620,,50620
65759,,65759
1724,,1724
267935,,267935
281957,,281957
77950,,77950
44896,,44896
270946,,270946
2503,,2503
9502,,9502
102899,,102899
101299,,101299
228161,,228161
74,,74
8961,,8961
417859,,417859
27576,,27576
86834,,86834
17578,,17578
673,,673
6972,,6972
82700,,82700
10567,,10567
181533,,181533
38055,,38055
671,,671
49524,,49524
22,,22
131631,,131631
591,,591
172385,,172385
36658,,36658
51497,,51497
58574,,58574
18823,,18823
861,,861
1911,,1911
49040,,49040
415,,415
8871,,8871
435,,435
955,,955
2133,,2133
1979,,1979
87827,,87827
1250,,1250
324668,,324668
9471,,9471
70981,,70981
10996,,10996
68724,,68724
2789,,2789
97020,,97020
7459,,7459
42888,,42888
37834,,37834
75612,,75612
1895,,1895
1894,,1894
585,,585
76170,,76170
1893,,1893
49519,,49519
2395,,2395
12100,,12100
290595,,290595
98566,,98566
49047,,49047
9619,,9619
308531,,308531
166424,,166424
1593,,1593
254128,,254128
714,,714
2024,,2024
163,,163
787,,787
262500,,262500
2567,,2567
38745,,38745
40805,,40805
53182,,53182
41513,,41513
13700,,13700
262504,,262504
39254,,39254
77931,,77931
1639,,1639
80274,,80274
1571,,1571
120,,120
10204,,10204
8489,,8489
10588,,10588
2048,,2048
1495,,1495
10137,,10137
10198,,10198
286217,,286217
1635,,1635
24113,,24113
9679,,9679
98,,98
180,,180
672,,672
36557,,36557
869,,869
280,,280
11322,,11322
4982,,4982
36955,,36955
18487,,18487
39451,,39451
27581,,27581
9268,,9268
68718,,68718
10545,,10545
11688,,11688
76163,,76163
2059,,2059
2486,,2486
16523,,16523
116711,,116711
37710,,37710
9946,,9946
1372,,1372
106646,,106646
414,,414
563,,563
83542,,83542
41216,,41216
314,,314
184315,,184315
9016,,9016
18162,,18162
138103,,138103
257088,,257088
10214,,10214
205775,,205775
11692,,11692
22972,,22972
227973,,227973
29193,,29193
1734,,1734
3131,,3131
76758,,76758
9408,,9408
9890,,9890
855,,855
77953,,77953
18,,18
37786,,37786
10501,,10501
57800,,57800
150689,,150689
7980,,7980
12,,12
122,,122
121,,121
68737,,68737
1995,,1995
157353,,157353
331,,331
61791,,61791
8204,,8204
47964,,47964
10733,,10733
9806,,9806
1408,,1408
32657,,32657
607,,607
863,,863
44048,,44048
5175,,5175
2655,,2655
22794,,22794
8355,,8355
116745,,116745
4327,,4327
1422,,1422
10674,,10674
7446,,7446
65754,,65754
1572,,1572
10528,,10528
271969,,271969
10865,,10865
258509,,258509
2253,,2253
10661,,10661
257344,,257344
644,,644
10756,,10756
686,,686
9383,,9383
179,,179
76285,,76285
1996,,1996
291805,,291805
10003,,10003
1535,,1535
2067,,2067
46195,,46195
2277,,2277
10357,,10357
4477,,4477
8665,,8665
9387,,9387
921,,921
49852,,49852
4464,,4464
664,,664
8358,,8358
9836,,9836
2502,,2502
9772,,9772
161,,161
52451,,52451
76492,,76492
4523,,4523
59961,,59961
10481,,10481
59108,,59108
1581,,1581
9798,,9798
22897,,22897
298,,298
7484,,7484
157350,,157350
853,,853
10159,,10159
9593,,9593
1904,,1904
9615,,9615
51052,,51052
297,,297
9884,,9884
16858,,16858
62764,,62764
22538,,22538
9341,,9341
12107,,12107
9637,,9637
49049,,49049
9339,,9339
16281,,16281
39691,,39691
8247,,8247
11253,,11253
1949,,1949
8452,,8452
310,,310
27578,,27578
954,,954
70160,,70160
45243,,45243
364,,364
7518,,7518
11544,,11544
9986,,9986
8656,,8656
146216,,146216
9291,,9291
55301,,55301
109418,,109418
11665,,11665
6964,,6964
11324,,11324
12193,,12193
9928,,9928
754,,754
10202,,10202
4147,,4147
50546,,50546
1701,,1701
13027,,13027
2289,,2289
20504,,20504
9574,,9574
11618,,11618
2300,,2300
12096,,12096
10200,,10200
8834,,8834
228150,,228150
6068,,6068
41515,,41515
9023,,9023
38317,,38317
2157,,2157
14462,,14462
161795,,161795
159824,,159824
49948,,49948
2135,,2135
9822,,9822
9705,,9705
1656,,1656
12159,,12159
9678,,9678
4442,,4442
75,,75
330770,,330770
9433,,9433
19959,,19959
11973,,11973
11228,,11228
77951,,77951
5491,,5491
10715,,10715
10197,,10197
9562,,9562
9922,,9922
9447,,9447
274854,,274854
8870,,8870
9992,,9992
36970,,36970
10077,,10077
76649,,76649
293644,,293644
453,,453
8587,,8587
72545,,72545
109451,,109451
9533,,9533
2023,,2023
71880,,71880
584,,584
309809,,309809
4858,,4858
17711,,17711
328111,,328111
8698,,8698
93456,,93456
602,,602
330,,330
953,,953
9693,,9693
36657,,36657
8909,,8909
9802,,9802
950,,950
1824,,1824
2976,,2976
11026,,11026
332,,332
75656,,75656
38365,,38365
594,,594
15189,,15189
11678,,11678
6538,,6538
10555,,10555
1125,,1125
4551,,4551
612,,612
9567,,9567
37821,,37821
203801,,203801
2539,,2539
9297,,9297
3172,,3172
6520,,6520
1439,,1439
37958,,37958
2026,,2026
7450,,7450
11375,,11375
9425,,9425
25769,,25769
23685,,23685
11866,,11866
9741,,9741
211672,,211672
23629,,23629
8688,,8688
10153,,10153
153518,,153518
8676,,8676
20829,,20829
4349,,4349
9718,,9718
10808,,10808
197,,197
25,,25
35,,35
11086,,11086
10477,,10477
1997,,1997
6947,,6947
3050,,3050
2675,,2675
809,,809
920,,920
4806,,4806
7451,,7451
228165,,228165
3595,,3595
16869,,16869
879,,879
1573,,1573
9257,,9257
1903,,1903
9697,,9697
395,,395
23398,,23398
10590,,10590
117263,,117263
200,,200
44943,,44943
587,,587
10395,,10395
57212,,57212
